,IC-FPC,,,,,,H-EFPC,,,,,
,CPITCH,,DUR,,CPITCH x DUR,,CPITCH,,DUR,,CPITCH x DUR,
,rho,r_s,rho,r_s,rho,r_s,rho,r_s,rho,r_s,rho,r_s
0,0.86,0.88,0.89,1.00,-0.83,-0.82,1.00,NaN,1.00,NaN,1.00,NaN
1,0.85,0.86,0.72,0.51,0.34,0.38,0.20,-0.06,0.36,-0.48,-0.28,-0.23
2,0.76,0.77,0.70,0.66,0.45,0.47,0.24,0.28,0.31,-0.14,0.06,0.33
3,0.73,0.76,0.70,0.69,0.23,0.28,0.51,0.50,0.40,0.29,0.27,0.36
4,0.75,0.81,0.71,0.72,0.19,0.33,0.67,0.68,0.44,0.29,0.34,0.46
5,0.77,0.86,0.73,0.78,0.23,0.39,0.73,0.81,0.50,0.42,0.37,0.53
6,0.78,0.88,0.74,0.80,0.32,0.45,0.75,0.89,0.55,0.49,0.42,0.59
7,0.80,0.90,0.75,0.82,0.45,0.50,0.77,0.93,0.60,0.60,0.54,0.64
8,0.82,0.91,0.75,0.84,0.58,0.54,0.80,0.95,0.64,0.70,0.68,0.68
9,0.84,0.92,0.76,0.86,0.66,0.57,0.83,0.96,0.66,0.76,0.77,0.71
10,0.85,0.92,0.77,0.87,0.69,0.60,0.85,0.97,0.67,0.80,0.81,0.73
