,,,,0,1,2,3,4,5,6,7,8,9,10
IC-FPC,CPITCH,rho,a,0.8612077984352750,0.8505788565585270,0.7569473218019510,0.7295967254251470,0.7510123539361020,0.7717523293902270,0.7795552061665680,0.8002560876836080,0.8228850183751760,0.8376499357464900,0.8472003775968800
,,,m,0.8860077451826700,0.8584086794875280,0.7801863978540600,0.7487205681729560,0.7576423592167030,0.7714809613033080,0.786900386654519,0.813789166730279,0.8405754929725290,0.8568167091531040,0.8686790867718780
,,r_s,a,0.8785152131349700,0.8553932547117230,0.7681832566928770,0.760881404649004,0.8144843753807630,0.8648581048364410,0.8846009862227900,0.9030181203713350,0.9133559101057390,0.9197540233859630,0.9242115250982900
,,,m,0.8471209429322310,0.839577743948314,0.770335887950829,0.7636119606703230,0.8089264149036640,0.8569146455075160,0.8749535992777960,0.892264419138329,0.9020928142617730,0.9082505471914580,0.9126189803240220
,,tau,a,0.7414731605364010,0.6850798549257960,0.5736503759471690,0.5698936335868640,0.6264059112679230,0.684982043770519,0.717918998273682,0.7472375643991350,0.7656587652011170,0.7783840464239070,0.7879720088696440
,,,m,0.7392400136997630,0.6859810635885130,0.5971855324638820,0.5886304367642560,0.6360440818678540,0.6888719238258930,0.7156816614005030,0.7439410030285660,0.7601567193508150,0.7721366846768550,0.7807825877730420
,DUR,rho,a,0.8921642313359560,0.7196391994813330,0.6976868856094440,0.7013391220962900,0.7091172761963140,0.7268426802813550,0.7369806821303530,0.7481721120924310,0.7509725401169150,0.7550953799285430,0.7665213853375230
,,,m,0.9545238346139890,0.7214241371679320,0.7213590392485660,0.7244381522189410,0.7430532144668570,0.7635833599985640,0.7606580697528450,0.7641383907798920,0.753103941047469,0.7560510651536290,0.7649024144199870
,,r_s,a,0.9990913098899000,0.508584638328866,0.6558470259709070,0.6872271839001120,0.7182111252013020,0.7819834960302930,0.8009059025970890,0.8158322050116320,0.8394971724190120,0.8592100105608540,0.8675346206740080
,,,m,0.9976769486160560,0.5142694147354410,0.7210505273349970,0.6676323165230930,0.7076552043882230,0.7768163707089280,0.7908278790671200,0.8069964119867730,0.8199409728938400,0.8410840006217270,0.8462608284362880
,,tau,a,0.9893528287700200,0.334680194686255,0.4751775292938800,0.5265991664108440,0.5532423874345720,0.6082364115164620,0.6198165865004480,0.6380541408917390,0.6607051675521540,0.6832712878573960,0.6952899485360070
,,,m,0.993950623171749,0.3819756932996420,0.572920573364981,0.5451553318735820,0.5703596371196640,0.6340028754659710,0.6386184044681350,0.6555468494792460,0.6650645100430770,0.6887578289804050,0.6935859787969050
,CPITCH x DUR,rho,a,-0.8310175582325000,0.34022099800029300,0.44894729121152800,0.22684190899728400,0.18814423306274700,0.22729716677885300,0.3151851386740580,0.44550740721300100,0.5754976477991180,0.6582669862216290,0.6923674418574380
,,,m,-0.8000718736309100,0.3685563851602860,0.44465623890840700,0.23780490598691500,0.20144515268859600,0.26634263109844200,0.3764232998749180,0.5111735314177750,0.6300266537320430,0.7013034476430250,0.7300532556017140
,,r_s,a,-0.8237128288763970,0.38446289525551700,0.46730361698668700,0.2787757424331010,0.32703811401520900,0.39291945300253800,0.44739972665593900,0.4983070381378690,0.5401639017725470,0.5696787968417750,0.5966916776384740
,,,m,-0.7643222052795730,0.4122663358530820,0.47323810969619500,0.3554363548774630,0.37258977475312300,0.4221679201443270,0.4708445939548530,0.517497061435017,0.5545623402979820,0.5813696540572020,0.6095136015395040
,,tau,a,-0.6540108396762720,0.2656395358467890,0.3252661419685810,0.1917880673836040,0.22378189337202800,0.27071918570648500,0.31221588893876300,0.3523880303041540,0.3869627091791150,0.4121082235338070,0.43557945536308600
,,,m,-0.6343485876058930,0.2937166306412240,0.3446139481988260,0.25278569337010700,0.2635373781696330,0.299454336090927,0.3395990555134640,0.37874887962855400,0.4110371434414510,0.43475902350616700,0.46073704873649000
H-EFPC,CPITCH,rho,a,1.0,0.1951056852704350,0.2385557130378110,0.5146592745988690,0.6680898053121380,0.7279080085276550,0.7502570308761160,0.7718506025370570,0.8002618421326710,0.829640433927422,0.8516564770432020
,,,m,NaN,0.12027686693752500,0.23329640323600900,0.5353474191247100,0.657709915376769,0.7074573104099830,0.7341570641974790,0.7661811110167100,0.8035949489021700,0.836846126344439,0.8595878705371030
,,r_s,a,NaN,-0.06414866887384430,0.28037553174281200,0.49857216928007200,0.6777603905699050,0.8115765869780400,0.8908763868597870,0.9318367713841130,0.9505699604008180,0.9604887272557020,0.9664913971267720
