id,ONSET,DELTAST,BIOI,DUR,CPITCH,MPITCH,ACCIDENTAL,KEYSIG,MODE,BARLENGTH,PULSES,PHRASE,VOICE,ORNAMENT,COMMA,VERTINT12,ARTICULATION,DYN,dataset,melody,event
"Melch.EventId(0, 1, 1)",0,0,1,24,65,38,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,1
"Melch.EventId(0, 1, 2)",24,0,24,24,62,36,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,2
"Melch.EventId(0, 1, 3)",48,0,24,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,3
"Melch.EventId(0, 1, 4)",60,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,4
"Melch.EventId(0, 1, 5)",72,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,5
"Melch.EventId(0, 1, 6)",84,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,6
"Melch.EventId(0, 1, 7)",96,0,12,24,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,7
"Melch.EventId(0, 1, 8)",120,0,24,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,8
"Melch.EventId(0, 1, 9)",132,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,9
"Melch.EventId(0, 1, 10)",144,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,10
"Melch.EventId(0, 1, 11)",156,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,11
"Melch.EventId(0, 1, 12)",168,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,12
"Melch.EventId(0, 1, 13)",180,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,13
"Melch.EventId(0, 1, 14)",192,0,12,24,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,14
"Melch.EventId(0, 1, 15)",216,0,24,24,67,39,0,-1,0,48,2,-1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,15
"Melch.EventId(0, 1, 16)",240,0,24,12,65,38,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,16
"Melch.EventId(0, 1, 17)",252,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,17
"Melch.EventId(0, 1, 18)",264,0,12,24,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,18
"Melch.EventId(0, 1, 19)",288,0,24,24,62,36,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,19
"Melch.EventId(0, 1, 20)",312,0,24,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,20
"Melch.EventId(0, 1, 21)",324,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,21
"Melch.EventId(0, 1, 22)",336,0,12,24,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,22
"Melch.EventId(0, 1, 23)",360,0,24,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,23
"Melch.EventId(0, 1, 24)",372,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,24
"Melch.EventId(0, 1, 25)",384,0,12,36,67,39,0,-1,0,48,2,-1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,25
"Melch.EventId(0, 1, 26)",420,0,36,12,65,38,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,26
"Melch.EventId(0, 1, 27)",432,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,27
"Melch.EventId(0, 1, 28)",444,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,28
"Melch.EventId(0, 1, 29)",456,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,29
"Melch.EventId(0, 1, 30)",468,0,12,12,60,35,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,30
"Melch.EventId(0, 1, 31)",480,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,31
"Melch.EventId(0, 1, 32)",492,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,32
"Melch.EventId(0, 1, 33)",504,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,33
"Melch.EventId(0, 1, 34)",516,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,34
"Melch.EventId(0, 1, 35)",528,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,35
"Melch.EventId(0, 1, 36)",540,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,36
"Melch.EventId(0, 1, 37)",552,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,37
"Melch.EventId(0, 1, 38)",564,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,38
"Melch.EventId(0, 1, 39)",576,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,39
"Melch.EventId(0, 1, 40)",588,0,12,12,72,42,0,-1,0,48,2,-1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,40
"Melch.EventId(0, 1, 41)",600,0,12,12,77,45,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,41
"Melch.EventId(0, 1, 42)",612,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,42
"Melch.EventId(0, 1, 43)",624,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,43
"Melch.EventId(0, 1, 44)",636,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,44
"Melch.EventId(0, 1, 45)",648,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,45
"Melch.EventId(0, 1, 46)",660,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,46
"Melch.EventId(0, 1, 47)",672,0,12,24,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,47
"Melch.EventId(0, 1, 48)",696,0,24,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,48
"Melch.EventId(0, 1, 49)",708,0,12,12,67,39,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,49
"Melch.EventId(0, 1, 50)",720,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,50
"Melch.EventId(0, 1, 51)",732,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,51
"Melch.EventId(0, 1, 52)",744,0,12,24,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,52
"Melch.EventId(0, 1, 53)",768,0,24,36,65,38,0,-1,0,48,2,-1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,53
"Melch.EventId(0, 1, 54)",804,0,36,12,77,45,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,54
"Melch.EventId(0, 1, 55)",816,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,55
"Melch.EventId(0, 1, 56)",828,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,56
"Melch.EventId(0, 1, 57)",840,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,57
"Melch.EventId(0, 1, 58)",852,0,12,12,76,44,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,58
"Melch.EventId(0, 1, 59)",864,0,12,24,77,45,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,59
"Melch.EventId(0, 1, 60)",888,0,24,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,60
"Melch.EventId(0, 1, 61)",900,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,61
"Melch.EventId(0, 1, 62)",912,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,62
"Melch.EventId(0, 1, 63)",924,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,63
"Melch.EventId(0, 1, 64)",936,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,64
"Melch.EventId(0, 1, 65)",948,0,12,12,76,44,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,65
"Melch.EventId(0, 1, 66)",960,0,12,36,77,45,0,-1,0,48,2,-1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,66
"Melch.EventId(0, 1, 67)",1008,12,48,12,74,43,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,67
"Melch.EventId(0, 1, 68)",1020,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,68
"Melch.EventId(0, 1, 69)",1032,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,69
"Melch.EventId(0, 1, 70)",1044,0,12,12,76,44,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,70
"Melch.EventId(0, 1, 71)",1056,0,12,12,77,45,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,71
"Melch.EventId(0, 1, 72)",1068,0,12,12,76,44,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,72
"Melch.EventId(0, 1, 73)",1080,0,12,12,77,45,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,73
"Melch.EventId(0, 1, 74)",1092,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,74
"Melch.EventId(0, 1, 75)",1104,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,75
"Melch.EventId(0, 1, 76)",1116,0,12,12,69,40,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,76
"Melch.EventId(0, 1, 77)",1128,0,12,12,67,39,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,77
"Melch.EventId(0, 1, 78)",1140,0,12,12,65,38,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,78
"Melch.EventId(0, 1, 79)",1152,0,12,24,67,39,0,-1,0,48,2,-1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,79
"Melch.EventId(0, 1, 80)",1176,0,24,12,77,45,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,80
"Melch.EventId(0, 1, 81)",1188,0,12,12,77,45,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,81
"Melch.EventId(0, 1, 82)",1200,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,82
"Melch.EventId(0, 1, 83)",1212,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,83
"Melch.EventId(0, 1, 84)",1224,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,84
"Melch.EventId(0, 1, 85)",1236,0,12,12,76,44,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,85
"Melch.EventId(0, 1, 86)",1248,0,12,24,77,45,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,86
"Melch.EventId(0, 1, 87)",1272,0,24,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,87
"Melch.EventId(0, 1, 88)",1284,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,88
"Melch.EventId(0, 1, 89)",1296,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,89
"Melch.EventId(0, 1, 90)",1308,0,12,12,72,42,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,90
"Melch.EventId(0, 1, 91)",1320,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,91
"Melch.EventId(0, 1, 92)",1332,0,12,12,76,44,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,92
"Melch.EventId(0, 1, 93)",1344,0,12,24,77,45,0,-1,0,48,2,-1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,93
"Melch.EventId(0, 1, 94)",1368,0,24,12,76,44,0,-1,0,48,2,1,1,0,0,Chakra.None(),0,Chakra.None(),0,1,94
"Melch.EventId(0, 1, 95)",1380,0,12,12,74,43,0,-1,0,48,2,0,1,0,0,Chakra.None(),0,Chakra.None(),0,1,95
