dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,cpitch.order.stm.cpitch,cpitch.weight.stm.cpitch,cpitch.probability,cpitch.information.content,cpitch.entropy,cpitch.54,cpitch.55,cpitch.56,cpitch.57,cpitch.58,cpitch.59,cpitch.60,cpitch.61,cpitch.62,cpitch.63,cpitch.64,cpitch.65,cpitch.66,cpitch.67,cpitch.68,cpitch.69,cpitch.70,cpitch.71,cpitch.72,cpitch.73,cpitch.74,cpitch.75,cpitch.76,cpitch.77,cpitch.79,cpitch.81,probability,information.content,entropy,information.gain,
3,1,1,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,1,1,0,0,38,65,48,2,NA,0,-1,24,0,0,1.0,0.038461532,4.70044,4.700439,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,0.038461532,4.70044,4.700439,NA,
3,1,2,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,24,0,0,36,62,48,2,NA,0,-1,24,24,0,1.0,0.01960784,5.6724257,3.2761219,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.50980383,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,0.01960784,5.6724257,3.2761219,0.7911993,
3,1,3,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,24,0,0,35,60,48,2,NA,0,-1,12,48,0,1.0,0.013513514,6.2094536,3.0717115,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.3378379,0.013513514,0.013513514,0.3378379,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,6.2094536,3.0717115,0.4748182,
3,1,4,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,35,60,48,2,NA,0,-1,12,60,0,1.0,0.25263152,1.9848934,3.094937,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.25263152,0.010526313,0.25263152,0.010526313,0.010526313,0.25263152,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.010526313,0.25263152,1.9848934,3.094937,0.3382367,
3,1,5,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,35,60,48,2,NA,0,-1,12,72,1,1.0,0.5034966,0.98994607,2.5143275,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.5034966,0.0069930074,0.1678322,0.0069930074,0.0069930074,0.1678322,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.5034966,0.98994607,2.5143275,0.18960351,
3,1,6,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,35,60,48,2,NA,0,-1,12,84,2,1.0,0.5034966,0.98994607,2.5143275,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.5034966,0.0069930074,0.1678322,0.0069930074,0.0069930074,0.1678322,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.5034966,0.98994607,2.5143275,0.0,
3,1,7,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,38,65,48,2,NA,0,-1,24,96,3,1.0,0.1678322,2.5749085,2.5143275,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.5034966,0.0069930074,0.1678322,0.0069930074,0.0069930074,0.1678322,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.0069930074,0.1678322,2.5749085,2.5143275,0.0,
3,1,8,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,24,0,0,38,65,48,2,NA,0,-1,12,120,1,1.0,0.1432836,2.8030546,1.9935575,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.2865672,0.0029850749,0.5014926,0.0029850749,0.0029850749,0.1432836,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.0029850749,0.1432836,2.8030546,1.9935575,0.3801795,
3,1,9,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,38,65,48,2,NA,0,-1,12,132,1,1.0,0.3342619,1.5809492,2.1095388,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.2674095,0.0027855153,0.3342619,0.0027855153,0.0027855153,0.3342619,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.0027855153,0.3342619,1.5809492,2.1095388,0.1538501,
3,1,10,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,40,69,48,2,NA,0,-1,12,144,2,0.99999994,0.0020876816,8.903882,1.8921125,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.20041744,0.0020876816,0.2505218,0.0020876816,0.0020876816,0.5010436,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,0.0020876816,8.903882,1.8921125,0.081780836,
3,1,11,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,40,69,48,2,NA,0,-1,12,156,0,1.0,0.09126985,3.4537177,2.3883138,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.3650794,0.0039682533,0.09126985,0.0039682533,0.0039682533,0.3650794,0.0039682533,0.0039682533,0.0039682533,0.09126985,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.0039682533,0.09126985,3.4537177,2.3883138,0.36644357,
